CID SMILES Name
598827 C1=C2C(=NC(=N1)Cl)SC=N2 CrO2
21122430 C1=CC(=NC2=C1N=NS2)Cl CrO2
54204203 C1=CN=C(C2=NSN=C21)Cl CrO2
57482764 C1=CN=C2C(=N1)N=C(S2)Cl CrO2
58332115 C1=CN=C2C(=C1Cl)SN=N2 CrO2
58332198 C1=NSC2=C1C(=NC=N2)Cl CrO2
82393742 C1=C2C(=NC=N1)SN=C2Br CrO2
12452794 C1=CC2=C(N=C1)SN=N2 CrO2
82393743 C1=C2C=NSC2=NC(=N1)Br CrO2
96536576 C1=C(C=NC2=C1N=NS2)Br CrO2
145706254 C1=NN=C2N1C(=S)SC=N2 CrO2
85589091 C1=C2C(=NC(=N1)Br)N=C(S2)Br CrO2
130317943 C1=C(C2=C(C(=N1)Br)SN=N2)Br CrO2
130317944 C1=C(C2=C(C(=N1)Br)N=NS2)Br CrO2
150347771 C1=C2C(=NC(=C1Br)Br)SN=N2 CrO2
56626134 C1=NC(=S)NC(=N1)Cl CrO2
144798510 C1=NNC(=NC1=S)Cl CrO2
21854900 C1=C(SC2=NN=NN21)Cl CrO2
67108296 C1=C(N=C2N1N=C(S2)Br)Br CrO2
146870745 B12C=NN=C1SN=C2 CrO2
319592 C1=C(N=C(C2=NSN=C21)Cl)Cl CrO2
609639 C1=NC2=C(S1)N=C(N=C2Cl)Cl CrO2
609643 C1=C2C(=NC(=N1)Cl)SC(=N2)Cl CrO2
129949425 C1=C2C(=C(N=N1)Cl)SC(=N2)Cl CrO2
586229 C1=C2C(=NC=N1)SC=N2 CrO2
84723817 C1=C2C(=NC=N1)SC(=N2)Br CrO2
140328361 C1=C2C(=NN=N1)SS2 CrO2
21522661 C1(=S)NC(=NC(=S)N1)Cl CrO2
135348271 C1=NSC2=C1SN=N2 CrO2
130317924 C1=CN=C(C2=C1N=NS2)Br CrO2
130317925 C1=C2C(=C(C=N1)Br)N=NS2 CrO2
130317932 C1=C2C(=C(C=N1)Br)SN=N2 CrO2
130758342 C1=CN=C2C(=N1)N=C(S2)Br CrO2
141361488 C1=CN=C(C2=NSN=C21)Br CrO2
89097138 C1=C2C(=NC=N1)N=C(S2)F CrO2
90955800 C1=C2C(=NC(=N1)F)N=CS2 CrO2
135348391 C1=NSC2=C1N=NS2 CrO2
132273882 C1=C(N=CC2=NSN=C21)F CrO2
43667923 C1=CN2C(=N1)SC(=N2)Br CrO2
67137608 C1=C2C(=NS1)N=NS2 CrO2
118209986 C1=NC2=NSN=C2S1 CrO2
129738833 C1=NC2=C(S1)SN=N2 CrO2
135348128 C1=C2C(=NS1)SN=N2 CrO2
155055298 C1=NC(=C2C(=N1)SC=N2)F CrO2
118209842 C1=COC2=NSN=C21 CrO2
137194105 C1=CC2=CC(=N)C=NC2=C1 TiO2
20197826 C1=C2C(=CSS2)N=C1 TiO2
45088201 C1=CSC2=C3N1C=C3N=C2 TiO2
